feature,f1_drop_when_removed
Ba,0.11408528260754525
Hg,0.03391182103601431
V,0.012157288339446515
Pb,0.006009326703398932
Al,0.005797101449275477
Ca,0.004928372676795911
Sr,0.004913654796298461
K,0.0046011353113140085
As,0.004017017250573129
Bi,0.0038180245955912184
Na,0.003355414633422593
Rb,0.0027843779949077163
Tl,0.0026795101660941345
Zn,0.0006562211397564965
Ga,1.1189985271831127e-05
Se,0.0
U,-0.00010486782881335976
Mg,-0.0006309159178398138
In,-0.0015880502304983501
Ag,-0.0021001405266964923
Li,-0.002186920109217616
Cs,-0.002240173150586
Cu,-0.005416836930654312
Cd,-0.007224300515512261
Fe,-0.007236919861350888
Be,-0.014160107208282202
Co,-0.025158139515561784
Ni,-0.029578996727081752
Cr,-0.0313161163627762
Mn,-0.03392400078734048
