feature,avg_abs_llr_vs_each_class,avg_signed_llr_on_ckdu_samples
U,485.1217901578887,2288.873364086312
Cs,466.1699388267873,2199.8218629100575
Tl,388.67582468580684,1829.6915121393706
Ba,265.50659692910773,416.7128600858355
Bi,245.3388028371137,1.4614085383001267
V,225.58279759026703,122.89265842119391
In,156.91187210823796,1.6255937913645968
Co,125.3744707647268,565.9876823347461
Cd,116.46370740758054,490.1623699346111
Mn,116.27754894649001,515.9532864758278
Ga,113.23631183259876,300.4650998311059
Se,93.97358405399461,349.6835835348263
Zn,78.35113633394585,2.7245121394549283
As,67.12224859450266,282.760357043291
Be,66.18122515967335,89.9097674108305
Cr,61.26123471483693,1.4173676781105815
Sr,57.816350557407105,0.9549359076065836
Ca,34.14184575614797,6.781085126148433
Cu,21.478604920334384,76.48967494037842
Fe,18.68792071060902,0.6997774974129448
Rb,18.677300630380348,0.8605738778450504
Pb,12.623521887960209,12.090676422016926
Ni,7.292585450846475,0.7476670613122975
Hg,7.188582486725214,1.3404305561337018
Ag,6.87424203761759,16.582907130413968
Na,3.855206364322178,1.144864485275873
K,2.755968152862283,1.160091084479058
Al,1.6164580244942337,0.7892091083593623
Li,0.9375604494773967,0.537723975902102
Mg,0.48914741331681033,0.13407697311998606
