feature,cv_f1_macro,cv_accuracy
In,0.5004000080139738,0.5340599455040872
Zn,0.46009199521804567,0.5122615803814714
V,0.4550073402019483,0.5940054495912807
Ba,0.42648225044009547,0.43869209809264303
Bi,0.4123223204598042,0.4332425068119891
Ca,0.4092886386905067,0.4768392370572207
Sr,0.4075432254448648,0.45776566757493187
Hg,0.40562766084214485,0.49318801089918257
K,0.40159592555250356,0.47411444141689374
Cs,0.3906061301183253,0.47956403269754766
Se,0.38964640290266844,0.43869209809264303
Cu,0.3681973054947345,0.42779291553133514
Rb,0.36413549580310145,0.42779291553133514
Ga,0.3343287094598623,0.3978201634877384
Na,0.3274640669282848,0.4087193460490463
Fe,0.31584303376720546,0.3760217983651226
Ag,0.3019794120627791,0.34332425068119893
Li,0.30178204344842496,0.40599455040871935
Pb,0.2900455585851127,0.329700272479564
Cd,0.2811051927706091,0.3814713896457766
Al,0.28006050933851767,0.3760217983651226
Tl,0.278163310421267,0.34877384196185285
As,0.2774964020516012,0.3814713896457766
U,0.2741531522269912,0.335149863760218
Cr,0.2655119608782871,0.3242506811989101
Be,0.2133679637140226,0.3133514986376022
Mn,0.2104887049415795,0.3079019073569482
Mg,0.19662204962592,0.2452316076294278
Ni,0.17387416955229923,0.2615803814713896
Co,0.15700034964716975,0.26975476839237056
