feature,appearance_count,avg_rank_if_hit,legacy_alias
K,7,3.5714285714285716,F3
V,7,3.857142857142857,F8
Ca,7,5.285714285714286,F4
Ba,6,4.0,F25
Al,6,4.333333333333333,F7
In,6,5.0,F23
Hg,6,5.333333333333333,F26
Sr,6,5.666666666666667,F20
Na,5,3.2,F1
Zn,5,5.4,F15
Ag,4,2.5,F21
Cs,4,3.5,F24
As,4,4.25,F17
Rb,4,5.5,F19
Bi,3,3.6666666666666665,F29
Tl,3,3.6666666666666665,F27
Co,3,5.333333333333333,F12
U,2,4.5,F30
Ga,2,5.5,F16
Be,1,2.0,F6
Cd,1,4.0,F22
Pb,1,4.0,F28
Ni,1,7.0,F13
Mg,1,8.0,F2
Mn,1,8.0,F10
Cr,0,,F9
Cu,0,,F14
Fe,0,,F11
Li,0,,F5
Se,0,,F18
