feature,coef_ckdu_ovr,abs_coef
V,-23.522105197713948,23.522105197713948
Co,19.242621241273472,19.242621241273472
Cs,-17.686759733209833,17.686759733209833
As,10.379766534144334,10.379766534144334
Ga,-9.334823537124109,9.334823537124109
Sr,8.263069875628979,8.263069875628979
Ca,-7.906164602395674,7.906164602395674
U,7.873562361472093,7.873562361472093
Rb,6.44220303529491,6.44220303529491
Mn,-4.468737421476177,4.468737421476177
Bi,3.528445883698068,3.528445883698068
Se,2.785167446711093,2.785167446711093
K,-2.614301753858758,2.614301753858758
In,1.7966386578156115,1.7966386578156115
Hg,-1.5084010683887161,1.5084010683887161
Ni,-1.4766232081958222,1.4766232081958222
Fe,1.3284118057524616,1.3284118057524616
Mg,1.2049632081562502,1.2049632081562502
Ba,1.1708192424103863,1.1708192424103863
Tl,-1.1528493748103281,1.1528493748103281
Ag,1.1516499666853308,1.1516499666853308
Zn,-1.123977896857395,1.123977896857395
Cr,-0.5892441320310606,0.5892441320310606
Cu,-0.5438657751051456,0.5438657751051456
Al,-0.5202530291996231,0.5202530291996231
Na,-0.31952339186938167,0.31952339186938167
Pb,-0.2416128609480417,0.2416128609480417
Li,0.04199367196899473,0.04199367196899473
Be,0.01963915611828613,0.01963915611828613
Cd,-0.013675594727616341,0.013675594727616341
