feature,avg_rank,selected_for_raw_branch,perm_importance_mean,mean_abs_shap_ckdu,selector_rank_norm,perm_rank_norm,shap_rank_norm,fusion_contribution_score,legacy_alias
Ca,4.25,1,0.02396448699043754,0.13884067220682805,0.9662921348314607,0.896551724137931,1.0,0.955366137156141,F4
K,8.5,1,0.009656852512776357,0.12778881208527984,0.7752808988764045,0.7241379310344828,0.9607843137254902,0.8335430103850916,F3
In,8.0,1,0.011266314222803194,0.060846924513731436,0.797752808988764,0.7931034482758621,0.8431372549019608,0.822122448359429,F23
Ba,8.0,1,0.0034583087722981536,0.05082231883099345,0.797752808988764,0.4482758620689655,0.803921568627451,0.6877073029909369,F25
Tl,12.5,0,0.016535895597197824,0.016433082572940665,0.5955056179775281,0.8620689655172413,0.6470588235294117,0.6770711306607106,F27
Sr,10.5,1,0.00783248382692948,0.014938598173550064,0.6853932584269663,0.6551724137931034,0.607843137254902,0.6634037574735435,F20
V,17.75,1,0.029182654033316636,0.012585935103973342,0.3595505617977528,0.9655172413793104,0.5294117647058824,0.6631127925792557,F8
Fe,12.0,0,0.005561913562303723,0.02402913410134002,0.6179775280898876,0.6206896551724138,0.7254901960784313,0.6256573299602677,F11
As,3.5,0,0.001013865477583342,0.06173879247099754,1.0,0.1724137931034483,0.8823529411764706,0.6191683569979716,F17
Al,14.0,1,0.00106770143600333,0.07828245007587699,0.5280898876404494,0.2068965517241379,0.9215686274509804,0.5769852846214039,F7
Ag,11.25,0,0.0029810533105413565,0.04143481351237373,0.651685393258427,0.3793103448275862,0.7647058823529411,0.5633270278277913,F21
Hg,23.5,1,0.052750940749607546,0.0033458656149323884,0.101123595505618,1.0,0.2941176470588235,0.5282220753469927,F26
U,8.75,0,0.004661097567234098,0.003969145543015656,0.7640449438202247,0.5517241379310345,0.33333333333333337,0.5007813508975849,F30
Zn,18.0,0,0.008480459906238448,0.009015991843708654,0.348314606741573,0.6896551724137931,0.4509803921568627,0.4863010992851228,F15
Bi,20.25,0,0.013467838389113598,0.0014565235326560043,0.2471910112359551,0.8275862068965517,0.21568627450980393,0.4269431213012132,F29
Cs,18.25,0,0.009919032838212905,0.0013584330642231312,0.3370786516853933,0.7586206896551724,0.17647058823529416,0.41155161018301156,F24
Ni,12.75,0,0.0006070776928143172,0.010607548971360469,0.5842696629213483,0.13793103448275867,0.4901960784313726,0.365911905250283,F13
Rb,17.0,0,0.0018995917641283632,0.007686223978479498,0.3932584269662921,0.24137931034482762,0.4117647058823529,0.3269150124210862,F19
Pb,25.75,0,0.02576382097488002,0.0,0.0,0.9310344827586207,0.0,0.3258620689655172,F28
Na,12.75,0,0.004056761504768223,0.0,0.5842696629213483,0.48275862068965514,0.0,0.31503293297171636,F1
Mg,22.5,0,0.0033781086396172722,0.00504189120459086,0.1460674157303371,0.4137931034482759,0.37254901960784315,0.31173659700222595,F2
Ga,14.5,0,0.004146702754483687,0.0,0.5056179775280899,0.5172413793103448,0.0,0.30743897714064317,F16
Cr,17.0,0,0.0027256685167435556,0.001693122490264909,0.3932584269662921,0.31034482758620685,0.2549019607843137,0.29615098267125517,F9
Se,19.25,0,0.005537871080055181,0.0,0.2921348314606742,0.5862068965517242,0.0,0.278206121658272,F18
Li,23.5,0,-0.0016838032106827085,0.021223626998970426,0.101123595505618,0.0,0.6862745098039216,0.26547697730777703,F5
Be,24.5,0,-0.0003810522021725029,0.014047761404646617,0.0561797752808989,0.06896551724137934,0.5686274509803921,0.23720248269784472,F6
Cd,21.25,0,0.0029502285391477525,0.0,0.202247191011236,0.3448275862068966,0.0,0.1712514529252228,F22
Cu,20.5,0,0.0020493671392991784,0.0,0.2359550561797753,0.27586206896551724,0.0,0.15554048818287486,F14
Mn,17.5,0,0.00032826061820711926,0.0,0.3707865168539326,0.10344827586206895,0.0,0.12890352576520728,F10
Co,17.25,0,-0.0009030923256998235,0.0,0.3820224719101124,0.03448275862068961,0.0,0.10757458349476946,F12
