sample_index,rule,weight
57,Ca <= 107.81,0.1875941128086053
57,Ag > 2.46,0.13216513137329086
57,Al <= 967.42,0.11863781568263006
57,As > 14.83,0.11039327912403393
57,Cs > 3.67,0.07595787879611256
57,Fe <= 2062.00,0.07200733433772172
57,Mg <= 10.99,-0.07074791804328301
57,Sr <= 78.82,0.0599932961980384
57,Ba <= 27.52,-0.057756050174978577
57,51.28 < In <= 56.02,0.04300518841552284
57,Li <= 2.87,0.03778879271000845
57,Se <= 56.77,-0.033516372947722375
33,Ca > 158.36,-0.19386362498744805
33,U > 1.38,0.13149313102070714
33,Al > 1542.78,-0.12250100274493422
33,Ag > 2.46,0.10591314584083954
33,As > 14.83,0.09680741471286562
33,Tl > 0.12,0.09196760677665347
33,Cs > 3.67,0.08520055839613201
33,Fe <= 2062.00,0.07743703551360495
33,Ba <= 27.52,-0.07151077299751438
33,Mg <= 10.99,-0.06832619573000295
33,Sr <= 78.82,0.059861915359835316
33,Li > 7.32,-0.05097248526668229
49,K <= 119.51,0.15099640318550706
49,Al <= 967.42,0.13053477133380564
49,In <= 51.28,0.1229530748484014
49,Be <= 0.03,-0.07405600584672689
49,Ba > 1473.40,0.057860549080489654
49,107.81 < Ca <= 125.79,0.040064222671071854
49,Zn > 2179.32,-0.036348802655498155
49,2062.00 < Fe <= 2692.36,0.03441919571213566
49,Li <= 2.87,0.031768636403246495
49,96.76 < Sr <= 136.19,0.03158109387289197
49,Co > 8.34,0.02999559701016147
49,7.06 < As <= 14.83,0.028286019321650785
6,Ca <= 107.81,0.18518947149825385
6,K <= 119.51,0.14569637003863964
6,Ag > 2.46,0.12181692211824009
6,In <= 51.28,0.12046837879984483
6,Al <= 967.42,0.11464134696811099
6,As > 14.83,0.10105300868499183
6,Fe <= 2062.00,0.07206746290197447
6,Tl <= 0.05,-0.0605519690271866
6,Ba > 1473.40,0.05315652496024709
6,0.88 < U <= 1.10,-0.03743922957092701
6,3.17 < Hg <= 10.69,0.024569720335902625
6,Li <= 2.87,0.022348405533171706
76,Ca <= 107.81,0.18672770387342744
76,K <= 119.51,0.14702220537079685
76,Ag > 2.46,0.12442793754598289
76,As > 14.83,0.11167099720887377
76,Fe <= 2062.00,0.07070307738273483
76,Ba <= 27.52,-0.06625395823618671
76,Sr <= 78.82,0.06400749997831358
76,Se > 91.57,0.04569984738274971
76,51.28 < In <= 56.02,0.04332162099818849
76,Cr <= 116.86,0.04175895303972978
76,1268.35 < Al <= 1542.78,-0.037864873826651047
76,Ni <= 93.69,0.02637311753957281
