feature,perm_importance_mean,perm_importance_std,selected_raw_branch_count,legacy_alias
Hg,0.052750940749607546,0.027233005395622064,5,F26
V,0.029182654033316636,0.007382429420550516,5,F8
Pb,0.02576382097488002,0.016454697354297294,0,F28
Ca,0.02396448699043754,0.010821295643380887,5,F4
Tl,0.016535895597197824,0.011366283491223924,0,F27
Bi,0.013467838389113598,0.007415194118126041,0,F29
In,0.011266314222803194,0.006648547365746231,5,F23
Cs,0.009919032838212905,0.008009442345018788,0,F24
K,0.009656852512776357,0.007396453333381996,5,F3
Zn,0.008480459906238448,0.007358771144729823,0,F15
Sr,0.00783248382692948,0.009109290021018162,5,F20
Fe,0.005561913562303723,0.0069289653241739226,0,F11
Se,0.005537871080055181,0.007317539120119296,0,F18
U,0.004661097567234098,0.007234195765749353,0,F30
Ga,0.004146702754483687,0.00822580212192453,0,F16
Na,0.004056761504768223,0.006098093194138169,0,F1
Ba,0.0034583087722981536,0.003181439201718528,5,F25
Mg,0.0033781086396172722,0.005601331415658746,0,F2
Ag,0.0029810533105413565,0.00937837374635518,0,F21
Cd,0.0029502285391477525,0.014333786041497371,0,F22
Cr,0.0027256685167435556,0.0037487679214155503,0,F9
Cu,0.0020493671392991784,0.009165078328875973,0,F14
Rb,0.0018995917641283632,0.00520862069749753,0,F19
Al,0.00106770143600333,0.005813536905322099,5,F7
As,0.001013865477583342,0.004915879673297681,0,F17
Ni,0.0006070776928143172,0.006199804008085946,0,F13
Mn,0.00032826061820711926,0.0047959941153760096,0,F10
Be,-0.0003810522021725029,0.009184271486172457,0,F6
Co,-0.0009030923256998235,0.0042635410106323145,0,F12
Li,-0.0016838032106827085,0.005161284973669403,0,F5
