feature,anova_score,ckdu_t_score,lda_abs_coef,logreg_abs_coef,rank_anova_score,rank_ckdu_t_score,rank_lda_abs_coef,rank_logreg_abs_coef,avg_rank,selected_for_raw_branch,legacy_alias
As,76.88912159606421,31.338783325957653,9.17133301655812,1.0599167664483504,8.0,1.0,4.0,1.0,3.5,0,F17
Ca,77.52810061341256,14.466367466460328,10.950541411102762,0.9803104688250548,7.0,5.0,3.0,2.0,4.25,1,F4
In,51.51798817879474,29.824626221855887,6.8419635813560715,0.6296345434511426,18.0,2.0,5.0,7.0,8.0,1,F23
Ba,72.4499016829281,2.6040641343014537,22.76424486876567,0.9214228569464264,10.0,18.0,1.0,3.0,8.0,1,F25
K,46.660000818695465,25.00129759281224,5.693446109484545,0.8180273128074692,20.0,3.0,7.0,4.0,8.5,1,F3
U,107.6875232035623,1.1037690960537636,13.466395565987412,0.6125734472900288,3.0,22.0,2.0,8.0,8.75,0,F30
Sr,84.6678343383184,9.28458643400853,3.161477535743128,0.4601539262616623,6.0,10.0,14.0,12.0,10.5,1,F20
Ag,42.19911467505502,13.860687234317524,3.3905760494100665,0.793346180587333,22.0,6.0,12.0,5.0,11.25,0,F21
Fe,58.512687494266714,9.193506438477774,3.971101984735895,0.5327440190474505,16.0,11.0,10.0,11.0,12.0,0,F11
Tl,73.12663001012366,1.44651920194686,3.4849647894587856,0.566038502994701,9.0,21.0,11.0,9.0,12.5,0,F27
Ni,30.85958926996837,9.886258113177181,6.27631430919226,0.5591200207736541,26.0,9.0,6.0,10.0,12.75,0,F13
Na,37.32147381685421,20.184862622216333,3.9821007290450394,0.29239530456467117,24.0,4.0,9.0,14.0,12.75,0,F1
Al,21.5417931187353,13.20150497047932,2.539660665962126,0.6313619657726903,28.0,7.0,15.0,6.0,14.0,1,F7
Ga,94.45630241341297,3.733444967483561,2.366795964882314,0.1760749496608079,4.0,17.0,16.0,21.0,14.5,0,F16
Rb,61.00441854711169,7.905244655038967,2.1380355029227798,0.1061320856410605,15.0,12.0,17.0,24.0,17.0,0,F19
Cr,58.4161354032472,12.485575713844785,0.9462720803376289,0.1966777456070656,17.0,8.0,24.0,19.0,17.0,0,F9
Co,36.488884286932965,2.1655628529207847,4.477142006067495,0.22831760089201852,25.0,19.0,8.0,17.0,17.25,0,F12
Mn,39.03550581973424,3.837350316176679,3.360101580784368,0.19843004263334668,23.0,16.0,13.0,18.0,17.5,0,F10
V,143.42575098082617,0.24707220729111865,1.133889389256266,0.19040743671262747,1.0,28.0,22.0,20.0,17.75,1,F8
Zn,88.77148748246573,5.0973921567814555,0.9255107718313111,0.020278928853569748,5.0,13.0,25.0,29.0,18.0,0,F15
Cs,119.57109574073019,0.11207139132452641,0.8972346451005055,0.258005817205803,2.0,29.0,26.0,16.0,18.25,0,F24
Se,67.87927903038951,2.127246784048977,1.4748145420147551,0.06341772734675562,12.0,20.0,20.0,25.0,19.25,0,F18
Bi,68.3951354795747,0.7249582449389078,1.5234693159410826,0.053363925674071916,11.0,25.0,18.0,27.0,20.25,0,F29
Cu,49.30672669740868,4.729034058977684,1.1287635966936345,0.05903490748526445,19.0,14.0,23.0,26.0,20.5,0,F14
Cd,62.16214165261768,0.7542024940013499,1.49690534898525,0.047893706062554116,14.0,24.0,19.0,28.0,21.25,0,F22
Mg,5.789695576483879,0.35293271218919076,1.1617089218693102,0.4317110273651616,30.0,26.0,21.0,13.0,22.5,0,F2
Hg,64.26056858813182,0.8264581512708036,0.8757278816310106,0.006342408030310158,13.0,23.0,28.0,30.0,23.5,1,F26
Li,28.151255556258846,4.470911224495576,0.4914993400308871,0.1237864895037344,27.0,15.0,30.0,22.0,23.5,0,F5
Be,17.06700304822073,0.3039919669588704,0.8955473881511928,0.2868867930544301,29.0,27.0,27.0,15.0,24.5,0,F6
Pb,43.07987386318388,0.03462393286252502,0.565365488578932,0.1131808287459823,21.0,30.0,29.0,23.0,25.75,0,F28
