feature,mean_abs_shap_ckdu,mean_signed_shap_ckdu,legacy_alias
Ca,0.1388932369003954,0.1388932369003954,F4
K,0.1282381876054514,0.1282381876054514,F3
Al,0.07852108243596798,0.07852108243596798,F7
As,0.0591602014271158,0.0591602014271158,F17
In,0.05845200825678666,0.05845200825678666,F23
Ba,0.051114954662130827,0.051114954662130827,F25
Ag,0.04183372662566852,0.04183372662566852,F21
Li,0.020969250013394954,0.020969250013394954,F5
Sr,0.018618755493580268,0.018618755493580268,F20
Tl,0.018125578941624594,0.018125578941624594,F27
Fe,0.015394606552950035,0.015394606552950035,F11
V,0.014813562776895,0.014813562776895,F8
Be,0.013198369852324051,0.013198369852324051,F6
Ni,0.010835600363990465,0.010835600363990465,F13
Zn,0.008321059610616882,0.008321059610616882,F15
Cs,0.006419261211285528,0.006419261211285528,F24
Mg,0.005797760992849946,0.005797760992849946,F2
Cr,0.005255870410863479,0.005255870410863479,F9
Rb,0.004633484035150475,0.004633484035150475,F19
Na,0.0034282000437435936,0.0034282000437435936,F1
Hg,0.0026682911589154213,0.0026682911589154213,F26
Cd,0.0013268814344633006,0.0013268814344633006,F22
U,0.0011677374885691316,0.0011677374885691316,F30
Cu,0.0,0.0,F14
Mn,0.0,0.0,F10
Co,0.0,0.0,F12
Ga,0.0,0.0,F16
Se,0.0,0.0,F18
Pb,0.0,0.0,F28
Bi,0.0,0.0,F29
