,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Na,-0.038572864851801204,0.019800637059824367,0.5036669829272954,-0.06555842379465877,-0.04439038603225367,-0.03588765397855024,-0.24684397745526432,-0.01711414674872436,-0.2075707489831686,-0.23732974273957802
Mg,-0.07308817715665328,-0.004028227540290599,0.41005599258887415,-0.11917860758245583,-0.037300817130626295,0.22291718158611434,-0.28747719688294265,0.10517432408802899,-0.37010569075015487,-0.0658018898500425
K,-0.0832809798775898,0.05533798838932014,0.47996417959087684,-0.002144679461515017,-0.04253008820646224,-0.12926772430161285,-0.05781966189743318,-0.09603873835981155,0.22516748256959299,-0.03572860932028876
Ca,0.24749817130391283,-0.2049773523692418,0.0619801644581135,-0.11238010159595088,0.05710161509190924,-0.10621956166513552,-0.021564278807639045,-0.05798600352535164,0.09046498478676843,-0.13045299361670876
Li,0.0990797296806924,-0.10352397559145227,0.18427091996325554,-0.14602385119221484,-0.08725561649060971,0.28888458536389555,0.11121873250807846,-0.5146491401953112,-0.18871244298055104,0.6510054122515863
Be,0.031086734071930522,0.04277663000134951,0.0026682454111415666,0.006493631227676396,0.5634367956830436,0.6129487579007471,0.05283620373695567,-0.09394914861793133,0.2851967057412833,-0.19595291854126654
Al,-0.012780678879492776,0.027514325049654082,0.3101229744295637,0.011286347514877747,0.12524896353600912,0.14584049802459434,0.6574780911660778,0.07338710676322455,-0.1117233021453571,-0.22422267730706463
V,0.2603589095499642,-0.15966337892482496,0.018329462127887376,-0.11541113043241993,0.010973367196344765,-0.06078819153177725,-0.0017796254255348489,-0.1172936101647722,-0.0763761620863667,-0.07742503656018845
Cr,0.15831380968557507,-0.177294113963526,0.03606725786796479,0.52528083909625,-0.06274411106373122,0.03606802246558152,-0.0014631337844364445,0.13416252166994005,0.00047396454856635424,0.11975417119868703
Mn,0.21794302015710848,0.251683693579576,0.022428148407656643,0.020973174801252836,-0.15549731472531328,-0.009648301160638327,0.11448082017148674,-0.0072907926198822635,-0.04187015452205739,-0.06389438365266237
Fe,0.1755598323151807,-0.22250881783184234,0.04728761387301219,0.39656218964820067,0.014745945952621653,-0.018693355149783285,0.030722995277755755,0.1488520663226345,-0.013358609336445419,0.10906490252217771
Co,0.18087806615072338,0.23934672920640437,0.03216915759070019,0.1384001308854968,0.2584312859649844,0.003226595741765321,-0.24343136398765328,-0.042315989746274596,0.028766858500427362,0.14682965259407355
Ni,0.08536503174144812,-0.011470278224952717,0.06439342132282344,0.4677361747615806,-0.37972712373898854,0.3646702795454135,-0.1201308251813122,-0.2035012790654368,0.05073211570656273,-0.25964366447167575
Cu,0.26503695381154413,0.1447586351474893,0.04311617515409772,-0.11207444889318813,-0.03880369072215385,-0.07702600737444763,0.015877012803580445,-0.03462266442819711,0.057493388440047435,-0.08585705416669229
Zn,0.19644573501200135,-0.2754011746741745,0.01961646099891522,-0.06583599619347028,0.05550653659535922,-0.02480615059226747,-0.046207741638227696,-0.06795118361255438,0.0347341538903397,-0.014458841749631387
Ga,0.280644762461,0.0845844623359077,0.03797671095492118,0.22537749109671362,-0.030469046846682585,-0.008377475124730242,0.04848950760406669,0.05264491486245116,-0.046101469039361874,0.06434358888916204
As,0.24856946103283298,0.2123487796010514,-0.005014401522359102,0.02711395318462885,-0.013148970199107239,0.0033080695019480056,-0.010505396318162224,0.09141515378419268,-0.06961372635000164,0.030531182270459516
Se,0.2726519407590305,0.1535657705069715,0.029545725546081026,-0.016287980259999207,-0.08478023963061965,-0.048666676794403126,0.0018131938715537127,-0.0433721655640972,-0.01550575010164167,-0.09731287646781835
Rb,0.2186445099999621,-0.2361328899900052,0.052879310178457366,-0.08669280415426611,0.044590299913760394,-0.12436098454665216,-0.07779661335858214,-0.08790207989321386,0.1349938809024969,-0.15008325341781273
Sr,0.2050599928086938,-0.27749940701323933,0.0375818656001348,-0.10182160894328046,0.07220451782260112,-0.07239852568161405,-0.04212199093651843,-0.04031184663748791,0.07728995794050206,-0.09791445611612622
Ag,0.1405449682735348,-0.015434023002309673,-0.11454596754093507,-0.261971828410425,-0.16991061197851579,0.41150654831918526,-0.12279449868711952,0.542820494193564,-0.05598482176381538,-0.00697430402500944
Cd,0.22898129909497664,0.23674953727565684,0.003871134415586973,-0.08579415437784767,-0.062479275365930766,-0.03865299202447405,0.08816321436604736,0.007204396001137609,-0.022022723891585785,-0.003645541692847429
In,0.19755409364685375,-0.25756843704445986,0.05063016121927554,-0.08161039380722379,0.09380563461383179,-0.11250066905311083,-0.02196417797598812,-0.060939310236412324,0.10926455664300612,-0.14934229795712256
Cs,0.1489808226968539,0.21824016865408133,0.021550787960446516,0.057279560470731364,0.3835747545402216,-0.027020897470222703,-0.30886619235238966,-0.030746585130203088,0.06954478512766298,0.17772791765751625
Ba,0.1528080714029253,-0.21815243357422645,-0.11432166543425729,-0.12558479717009718,0.006081479587830459,0.14124392567838986,-0.22701877098661877,0.19040444912870175,-0.22808730158359272,0.08928481050823905
Hg,-0.05761455084902639,0.004042773190667811,0.38791448909377946,-0.013228420112744055,-0.062171427256924955,-0.055995681157240226,-0.012763935102078162,0.3978450163557208,0.5406890864623882,0.35466545037489544
Tl,0.21024747413067665,0.2802854617181872,0.014581748571381725,-0.058660495036675205,0.005651626249444437,-0.048692963965974806,0.038622191410033466,0.009376577377916823,-0.024620923633486308,0.0241685736853016
Pb,0.16553094961312081,-0.07962324428610476,-0.034452044810409296,-0.2502604366389193,-0.3552366357055821,0.22251375845869825,0.14839621779041093,-0.03497591453181344,0.3419462743442654,0.08331853140602791
Bi,0.12322899861877598,-0.16811632669956636,0.11929254830715041,0.05291779279758282,0.26247870580470306,-0.10195617313822378,0.32038231807271367,0.2754973466084737,-0.31805328748470924,0.18245339110156003
U,0.2059427826820694,0.27854562621251333,0.011673913861509119,-0.07194599840741438,-0.05975956530137246,-0.053635100708172984,0.09035314549195211,0.022938412019152348,-0.03284172956914291,-0.022802165849414545
