feature,anova_p,anova_neglog10p,kruskal_p,kruskal_neglog10p
V,6.964361819912357e-110,109.157118674041,6.11167010856494e-60,59.21384009584213
Zn,6.09574471122896e-96,95.21497322946801,1.7053891872478086e-39,38.76817649491991
Sr,6.207439538727193e-81,80.20708750183785,6.00843599969858e-38,37.22123856045913
Ca,5.096580871005698e-69,68.29272108014365,9.683229361850345e-45,44.013979781106954
Ba,7.78081796662485e-68,67.10897474494881,4.7782508208825407e-42,41.320731056916365
Hg,1.645766041300034e-66,65.78363190314208,2.026303939047109e-42,41.69329541131987
Rb,1.3942914710504918e-64,63.8556464292244,3.9996373785738016e-35,34.397979381577855
In,4.409952526361225e-49,48.35556608573632,5.638246182163873e-36,35.248855965495075
K,9.282877601365993e-47,46.032317375863805,3.1942269093408655e-36,35.49563423598265
Na,3.7487000092288394e-38,37.4261193127258,2.2628506340351824e-32,31.645344111955648
Fe,2.7666866568948195e-27,26.55804002441067,4.1826837627719424e-39,38.37854496957545
Ag,5.7311688893516214e-21,20.241756793316334,3.342175872679155e-35,34.47597070030607
Pb,1.0361055063684381e-20,19.98459601823888,2.065683320388441e-34,33.684936257235314
Al,4.381067940135234e-18,17.358420011876138,1.1174467407488257e-23,22.95177316685383
Cr,1.2025029877119298e-17,16.919913835914468,6.516555543206664e-37,36.18598189872439
Li,1.0804991263481879e-16,15.966375579935127,5.942212050468951e-24,23.226051854264878
Ga,3.4419017384338034e-13,12.463201532342312,1.6760429638065906e-38,37.77571485282688
Bi,2.4099444155170412e-11,10.617992974152358,4.804707983739702e-47,46.318333002356376
Se,7.698746858451067e-10,9.113579960119763,9.878353807326413e-37,36.00531542301981
Cu,1.759788561621796e-09,8.754539509479695,6.271213992603974e-34,33.20264837954335
As,3.986939070210489e-09,8.39936040132621,3.302848851934884e-48,47.48111130044501
Mg,8.017206107020899e-07,6.095976951379377,4.2852170406480955e-06,5.368027176735248
Ni,5.609768766823108e-05,4.251055039877963,4.2039258067255543e-26,25.376344957252268
U,0.0008954312544756004,3.0479677509070124,5.715883212709849e-55,54.24291665332295
Tl,0.0010790735263090697,2.966948962191622,1.2084975027544537e-49,48.917754242683785
Cd,0.0014126314634530638,2.8499711249630386,3.2625779905842275e-37,36.48643909789871
Mn,0.003743103787408566,2.426768130760565,6.17595265064832e-28,27.2092960422774
Be,0.007167574432972405,2.144627788348504,1.9519909295978116e-17,16.709522204719928
Co,0.0711628398074371,1.14774672938953,3.2221612500274053e-28,27.49185272951432
Cs,0.15134511552039437,0.8200315908076432,3.4795202308644353e-50,49.458480634056954
